epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1317.05,0.65759,0.44904,0.8542,0.6002,0.81201,0.70481,0.48209,1.03915,1.03616,0.94301,0.000634832,0.000634832,0.000634832
114,1328.94,0.67476,0.46159,0.85914,0.64671,0.67277,0.65917,0.44779,1.0342,1.06397,0.9412,0.000634125,0.000634125,0.000634125
115,1340.57,0.66619,0.46316,0.85692,0.67547,0.66624,0.68543,0.4669,0.99216,1.08129,0.90974,0.000633418,0.000633418,0.000633418
116,1352,0.63966,0.44729,0.85182,0.66724,0.80406,0.7324,0.49033,1.01833,0.99604,0.94317,0.000632711,0.000632711,0.000632711
117,1363.85,0.65934,0.45532,0.85916,0.64797,0.85471,0.72651,0.48281,1.03939,0.99116,0.94277,0.000632004,0.000632004,0.000632004
118,1375.3,0.65387,0.45828,0.85144,0.70044,0.8065,0.74053,0.48512,1.01005,0.97184,0.93951,0.000631297,0.000631297,0.000631297
119,1387.05,0.64274,0.45878,0.85111,0.60756,0.73737,0.66385,0.44154,1.02137,1.04829,0.91958,0.000630591,0.000630591,0.000630591
120,1398.68,0.66615,0.45474,0.85695,0.70627,0.647,0.69019,0.4728,1.00777,1.08177,0.92474,0.000629884,0.000629884,0.000629884
121,1409.9,0.6581,0.45613,0.84981,0.68773,0.62768,0.68266,0.4454,1.01897,1.08844,0.9265,0.000629177,0.000629177,0.000629177
122,1421.3,0.67226,0.44716,0.86172,0.58913,0.79079,0.67377,0.45713,1.00676,1.04429,0.9349,0.00062847,0.00062847,0.00062847
123,1433.1,0.66785,0.45719,0.85984,0.65848,0.7565,0.68429,0.46694,0.99388,1.01936,0.94629,0.000627763,0.000627763,0.000627763
124,1444.4,0.64471,0.45941,0.85822,0.64768,0.72813,0.6748,0.45838,1.01937,0.98555,0.94147,0.000627056,0.000627056,0.000627056
125,1455.53,0.65079,0.44837,0.85479,0.66532,0.67936,0.65986,0.43715,1.06758,1.08883,0.95587,0.000626349,0.000626349,0.000626349
126,1467.18,0.64147,0.45923,0.85195,0.66899,0.65267,0.65296,0.43466,1.0488,1.12517,0.94819,0.000625642,0.000625642,0.000625642
127,1478.96,0.66124,0.45334,0.85519,0.64539,0.62293,0.66589,0.44549,1.00521,1.12469,0.94534,0.000624936,0.000624936,0.000624936
128,1490.54,0.64289,0.45304,0.85094,0.60805,0.8078,0.71645,0.47989,1.03221,0.95402,0.94307,0.000624229,0.000624229,0.000624229
129,1502.35,0.65347,0.44938,0.84779,0.62324,0.67506,0.66954,0.44936,1.0176,0.97985,0.94363,0.000623522,0.000623522,0.000623522
130,1513.91,0.67078,0.45249,0.85597,0.66229,0.73849,0.68574,0.45463,1.04244,1.02504,0.94848,0.000622815,0.000622815,0.000622815
131,1525.6,0.63001,0.43447,0.84847,0.6517,0.63623,0.65852,0.4339,1.06483,1.09877,0.95923,0.000622108,0.000622108,0.000622108
132,1537.51,0.65658,0.45509,0.84834,0.58566,0.72619,0.65075,0.41868,1.05343,1.15278,0.95056,0.000621401,0.000621401,0.000621401
133,1549.12,0.65253,0.44888,0.8531,0.67525,0.69271,0.68152,0.45272,1.03143,1.06698,0.91719,0.000620694,0.000620694,0.000620694
134,1560.94,0.64807,0.43988,0.84494,0.6674,0.65845,0.66238,0.45812,1.02977,1.10067,0.90811,0.000619988,0.000619988,0.000619988
135,1572.57,0.63373,0.43434,0.84718,0.66776,0.75073,0.70435,0.47953,1.0142,1.00835,0.92609,0.000619281,0.000619281,0.000619281
136,1584.26,0.63843,0.43928,0.84471,0.62134,0.81489,0.71242,0.50169,0.98053,0.96508,0.91097,0.000618574,0.000618574,0.000618574
137,1595.88,0.63046,0.43281,0.84814,0.65713,0.75122,0.71752,0.48554,1.02677,0.97916,0.92347,0.000617867,0.000617867,0.000617867
138,1607.54,0.6331,0.42232,0.84582,0.61261,0.84798,0.71777,0.48899,1.01942,0.97328,0.94006,0.00061716,0.00061716,0.00061716
139,1618.93,0.64114,0.43528,0.84907,0.67728,0.80873,0.7571,0.50679,1.00535,0.96201,0.93656,0.000616453,0.000616453,0.000616453
140,1630.69,0.64319,0.43682,0.85158,0.68635,0.79859,0.75158,0.49324,1.0064,0.95073,0.92903,0.000615746,0.000615746,0.000615746
141,1642.16,0.63761,0.43781,0.84105,0.62862,0.78478,0.74881,0.49527,1.00794,0.97724,0.94364,0.00061504,0.00061504,0.00061504
142,1654.47,0.65026,0.43314,0.84484,0.60394,0.82446,0.74169,0.49796,1.04101,0.96565,0.94635,0.000614333,0.000614333,0.000614333
143,1666.24,0.62607,0.42848,0.84866,0.68069,0.69367,0.69225,0.46862,1.04355,1.02311,0.93789,0.000613626,0.000613626,0.000613626
144,1678.13,0.6502,0.44406,0.84979,0.61317,0.70858,0.68384,0.4654,1.05098,1.05273,0.94442,0.000612919,0.000612919,0.000612919
145,1689.76,0.62731,0.43156,0.84336,0.63461,0.63739,0.66304,0.44949,1.02162,1.06976,0.94595,0.000612212,0.000612212,0.000612212
146,1701.12,0.61511,0.4153,0.84319,0.69605,0.65764,0.68939,0.47201,1.01541,1.05149,0.95668,0.000611505,0.000611505,0.000611505
147,1712.62,0.61643,0.42521,0.84101,0.64593,0.8143,0.72548,0.4902,1.02585,0.94686,0.95941,0.000610798,0.000610798,0.000610798
148,1724.38,0.62468,0.43156,0.84672,0.67746,0.72073,0.71465,0.48672,1.03909,0.99844,0.95812,0.000610092,0.000610092,0.000610092
149,1735.8,0.61678,0.42068,0.84785,0.68567,0.74073,0.71091,0.47782,1.04972,0.98729,0.96069,0.000609385,0.000609385,0.000609385
150,1747.67,0.62433,0.42086,0.85044,0.65783,0.73362,0.73173,0.50378,1.02392,0.99902,0.94655,0.000608678,0.000608678,0.000608678
151,1759.86,0.62184,0.42553,0.84967,0.65766,0.77069,0.73971,0.49551,1.01257,0.98861,0.92357,0.000607971,0.000607971,0.000607971
152,1771.62,0.60943,0.41187,0.84576,0.5969,0.79606,0.72284,0.47737,1.01212,0.97222,0.93511,0.000607264,0.000607264,0.000607264
153,1783.27,0.61545,0.40953,0.84684,0.60477,0.79445,0.71791,0.4834,1.03454,0.9664,0.94847,0.000606557,0.000606557,0.000606557
154,1795.02,0.62302,0.42266,0.84934,0.6369,0.78354,0.71094,0.46491,1.07317,1.04147,0.95302,0.00060585,0.00060585,0.00060585
155,1806.87,0.616,0.41445,0.84899,0.64263,0.73102,0.6967,0.46496,1.04588,1.051,0.9307,0.000605144,0.000605144,0.000605144
156,1818.57,0.6152,0.42328,0.84425,0.64746,0.79022,0.70588,0.48395,0.98705,1.05974,0.92794,0.000604437,0.000604437,0.000604437
157,1830.31,0.59486,0.42281,0.8406,0.69401,0.81744,0.7728,0.52844,1.01057,0.92488,0.93107,0.00060373,0.00060373,0.00060373
158,1841.81,0.6217,0.43123,0.85189,0.62679,0.76151,0.7307,0.49317,1.03456,0.9609,0.94692,0.000603023,0.000603023,0.000603023
159,1853.54,0.61823,0.41451,0.85073,0.69982,0.7102,0.71645,0.48719,1.02243,1.05285,0.9492,0.000602316,0.000602316,0.000602316
160,1865.04,0.62662,0.42188,0.84779,0.6694,0.86571,0.75484,0.51131,1.01134,0.92239,0.92852,0.000601609,0.000601609,0.000601609
161,1877.22,0.62457,0.42155,0.85288,0.68571,0.75025,0.72291,0.48935,1.03383,1.00348,0.93151,0.000600902,0.000600902,0.000600902
162,1888.82,0.63068,0.42039,0.84135,0.69245,0.71247,0.6951,0.46964,1.02722,1.10536,0.937,0.000600196,0.000600196,0.000600196
163,1900.58,0.63016,0.4238,0.85123,0.65164,0.77661,0.73714,0.48072,1.04332,0.96879,0.95455,0.000599489,0.000599489,0.000599489
164,1912.22,0.60662,0.41151,0.8392,0.60474,0.80727,0.69195,0.46193,1.01293,0.99876,0.95639,0.000598782,0.000598782,0.000598782
165,1923.59,0.60121,0.40861,0.84643,0.66581,0.70111,0.71113,0.48138,0.9939,0.99192,0.93532,0.000598075,0.000598075,0.000598075
166,1935.23,0.63104,0.42854,0.84812,0.61772,0.79571,0.72367,0.49288,1.01485,0.98289,0.93089,0.000597368,0.000597368,0.000597368
167,1946.62,0.61043,0.41178,0.84544,0.72095,0.66641,0.69562,0.46115,1.03465,1.08052,0.94288,0.000596661,0.000596661,0.000596661
168,1957.99,0.60962,0.40556,0.84876,0.67541,0.75315,0.72346,0.48086,1.02996,0.96098,0.93561,0.000595954,0.000595954,0.000595954
169,1969.68,0.6167,0.41586,0.85137,0.65176,0.78086,0.72847,0.48887,1.01614,0.9634,0.94623,0.000595248,0.000595248,0.000595248
